scenario_id,commodity,raw_value,raw_unit,multiplier,formal_value,formal_unit,rounding_status,rationale,provenance_identity
omega_42,Seasonal Influenza Vaccine,38558.0,abstract medical unit,10.0603621730382,387907.444668008,dose,none_exact_float_expression,economic_scale_preserving_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_42,Crackers,5398.0,1000 meals,14000.0,75572000.0,22 g serving,none_exact_float_expression,approximate_energy_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_43,Water,1390.0,1000 gallons,1000.0,1390000.0,gallon,none_exact_float_expression,physical_unit_conversion,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_43,Seasonal Influenza Vaccine,95500.0,abstract medical unit,10.0603621730382,960764.587525151,dose,none_exact_float_expression,economic_scale_preserving_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_43,Crackers,13825.0,1000 meals,14000.0,193550000.0,22 g serving,none_exact_float_expression,approximate_energy_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_44,Water,3279.0,1000 gallons,1000.0,3279000.0,gallon,none_exact_float_expression,physical_unit_conversion,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_44,Seasonal Influenza Vaccine,105551.0,abstract medical unit,10.0603621730382,1061881.28772636,dose,none_exact_float_expression,economic_scale_preserving_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_44,Crackers,14777.0,1000 meals,14000.0,206878000.0,22 g serving,none_exact_float_expression,approximate_energy_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_45,Water,9000.0,1000 gallons,1000.0,9000000.0,gallon,none_exact_float_expression,physical_unit_conversion,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_45,Seasonal Influenza Vaccine,2047.0,abstract medical unit,10.0603621730382,20593.5613682093,dose,none_exact_float_expression,economic_scale_preserving_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_45,Crackers,1933.0,1000 meals,14000.0,27062000.0,22 g serving,none_exact_float_expression,approximate_energy_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_46,Water,2361.0,1000 gallons,1000.0,2361000.0,gallon,none_exact_float_expression,physical_unit_conversion,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_46,Seasonal Influenza Vaccine,762.0,abstract medical unit,10.0603621730382,7665.99597585513,dose,none_exact_float_expression,economic_scale_preserving_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_46,Crackers,343.0,1000 meals,14000.0,4802000.0,22 g serving,none_exact_float_expression,approximate_energy_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_47,Water,2100.0,1000 gallons,1000.0,2100000.0,gallon,none_exact_float_expression,physical_unit_conversion,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_47,Seasonal Influenza Vaccine,1080.0,abstract medical unit,10.0603621730382,10865.1911468813,dose,none_exact_float_expression,economic_scale_preserving_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_47,Crackers,486.0,1000 meals,14000.0,6804000.0,22 g serving,none_exact_float_expression,approximate_energy_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_48,Water,8500.0,1000 gallons,1000.0,8500000.0,gallon,none_exact_float_expression,physical_unit_conversion,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_48,Seasonal Influenza Vaccine,3438.0,abstract medical unit,10.0603621730382,34587.5251509054,dose,none_exact_float_expression,economic_scale_preserving_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_48,Crackers,3609.0,1000 meals,14000.0,50526000.0,22 g serving,none_exact_float_expression,approximate_energy_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_49,Water,1861.0,1000 gallons,1000.0,1861000.0,gallon,none_exact_float_expression,physical_unit_conversion,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_49,Seasonal Influenza Vaccine,2153.0,abstract medical unit,10.0603621730382,21659.9597585513,dose,none_exact_float_expression,economic_scale_preserving_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_49,Crackers,2019.0,1000 meals,14000.0,28266000.0,22 g serving,none_exact_float_expression,approximate_energy_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_50,Water,1600.0,1000 gallons,1000.0,1600000.0,gallon,none_exact_float_expression,physical_unit_conversion,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_50,Seasonal Influenza Vaccine,2471.0,abstract medical unit,10.0603621730382,24859.1549295775,dose,none_exact_float_expression,economic_scale_preserving_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_50,Crackers,2162.0,1000 meals,14000.0,30268000.0,22 g serving,none_exact_float_expression,approximate_energy_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_51,Water,0,1000 gallons,1000.0,0.0,gallon,none_exact_float_expression,physical_unit_conversion,R6_FINAL_FORMAL_DESIGN_2026_08_31
