conflict_id,conflict_type,hurdat_storm_id,country_code,source_a,value_a,source_b,value_b,resolution,status,notes
CATEGORY-CHN-MKJS-19510818-033,HURDAT_CHN_CATEGORY,AL041951,JAM,NOAA_NHC_HURDAT2,H4,CARIBBEAN_HURRICANE_NETWORK,H3,ADOPT_HURDAT_PRESERVE_BOTH,RESOLVED_BY_AUTHOR_REPORTED_RULE,Original values remain in normalized/evidence tables.
CATEGORY-CHN-MKJS-19800806-035,HURDAT_CHN_CATEGORY,AL041980,JAM,NOAA_NHC_HURDAT2,H5,CARIBBEAN_HURRICANE_NETWORK,H4,ADOPT_HURDAT_PRESERVE_BOTH,RESOLVED_BY_AUTHOR_REPORTED_RULE,Original values remain in normalized/evidence tables.
CATEGORY-CHN-MKJS-19880912-036,HURDAT_CHN_CATEGORY,AL081988,JAM,NOAA_NHC_HURDAT2,H5,CARIBBEAN_HURRICANE_NETWORK,H3,ADOPT_HURDAT_PRESERVE_BOTH,RESOLVED_BY_AUTHOR_REPORTED_RULE,Original values remain in normalized/evidence tables.
CATEGORY-CHN-MKJS-19941113-037,HURDAT_CHN_CATEGORY,AL121994,JAM,NOAA_NHC_HURDAT2,H1,CARIBBEAN_HURRICANE_NETWORK,TS,ADOPT_HURDAT_PRESERVE_BOTH,RESOLVED_BY_AUTHOR_REPORTED_RULE,Original values remain in normalized/evidence tables.
CATEGORY-CHN-MKJS-20020918-038,HURDAT_CHN_CATEGORY,AL102002,JAM,NOAA_NHC_HURDAT2,H3,CARIBBEAN_HURRICANE_NETWORK,TS,ADOPT_HURDAT_PRESERVE_BOTH,RESOLVED_BY_AUTHOR_REPORTED_RULE,Original values remain in normalized/evidence tables.
CATEGORY-CHN-MKJS-20020930-039,HURDAT_CHN_CATEGORY,AL132002,JAM,NOAA_NHC_HURDAT2,H4,CARIBBEAN_HURRICANE_NETWORK,TS,ADOPT_HURDAT_PRESERVE_BOTH,RESOLVED_BY_AUTHOR_REPORTED_RULE,Original values remain in normalized/evidence tables.
CATEGORY-CHN-MKJS-20040812-040,HURDAT_CHN_CATEGORY,AL032004,JAM,NOAA_NHC_HURDAT2,H4,CARIBBEAN_HURRICANE_NETWORK,H1,ADOPT_HURDAT_PRESERVE_BOTH,RESOLVED_BY_AUTHOR_REPORTED_RULE,Original values remain in normalized/evidence tables.
CATEGORY-CHN-MKJS-20040911-041,HURDAT_CHN_CATEGORY,AL092004,JAM,NOAA_NHC_HURDAT2,H5,CARIBBEAN_HURRICANE_NETWORK,H4,ADOPT_HURDAT_PRESERVE_BOTH,RESOLVED_BY_AUTHOR_REPORTED_RULE,Original values remain in normalized/evidence tables.
CATEGORY-CHN-MKJS-20070820-042,HURDAT_CHN_CATEGORY,AL042007,JAM,NOAA_NHC_HURDAT2,H5,CARIBBEAN_HURRICANE_NETWORK,H4,ADOPT_HURDAT_PRESERVE_BOTH,RESOLVED_BY_AUTHOR_REPORTED_RULE,Original values remain in normalized/evidence tables.
CATEGORY-CHN-MKJS-20080829-043,HURDAT_CHN_CATEGORY,AL072008,JAM,NOAA_NHC_HURDAT2,H4,CARIBBEAN_HURRICANE_NETWORK,TS,ADOPT_HURDAT_PRESERVE_BOTH,RESOLVED_BY_AUTHOR_REPORTED_RULE,Original values remain in normalized/evidence tables.
CATEGORY-CHN-MTPP-19660929-030,HURDAT_CHN_CATEGORY,AL091966,HTI,NOAA_NHC_HURDAT2,H5,CARIBBEAN_HURRICANE_NETWORK,H3,ADOPT_HURDAT_PRESERVE_BOTH,RESOLVED_BY_AUTHOR_REPORTED_RULE,Original values remain in normalized/evidence tables.
CATEGORY-CHN-MTPP-19670911-031,HURDAT_CHN_CATEGORY,AL131967,HTI,NOAA_NHC_HURDAT2,H5,CARIBBEAN_HURRICANE_NETWORK,H1,ADOPT_HURDAT_PRESERVE_BOTH,RESOLVED_BY_AUTHOR_REPORTED_RULE,Original values remain in normalized/evidence tables.
CATEGORY-CHN-MTPP-19790901-032,HURDAT_CHN_CATEGORY,AL091979,HTI,NOAA_NHC_HURDAT2,H5,CARIBBEAN_HURRICANE_NETWORK,H3,ADOPT_HURDAT_PRESERVE_BOTH,RESOLVED_BY_AUTHOR_REPORTED_RULE,Original values remain in normalized/evidence tables.
CATEGORY-CHN-MTPP-19870923-033,HURDAT_CHN_CATEGORY,AL121987,HTI,NOAA_NHC_HURDAT2,H3,CARIBBEAN_HURRICANE_NETWORK,H1,ADOPT_HURDAT_PRESERVE_BOTH,RESOLVED_BY_AUTHOR_REPORTED_RULE,Original values remain in normalized/evidence tables.
CATEGORY-CHN-MTPP-19980923-034,HURDAT_CHN_CATEGORY,AL071998,HTI,NOAA_NHC_HURDAT2,H4,CARIBBEAN_HURRICANE_NETWORK,H1,ADOPT_HURDAT_PRESERVE_BOTH,RESOLVED_BY_AUTHOR_REPORTED_RULE,Original values remain in normalized/evidence tables.
CATEGORY-CHN-MTPP-20071029-036,HURDAT_CHN_CATEGORY,AL162007,HTI,NOAA_NHC_HURDAT2,H1,CARIBBEAN_HURRICANE_NETWORK,TS,ADOPT_HURDAT_PRESERVE_BOTH,RESOLVED_BY_AUTHOR_REPORTED_RULE,Original values remain in normalized/evidence tables.
CATEGORY-CHN-MTPP-20080826-039,HURDAT_CHN_CATEGORY,AL072008,HTI,NOAA_NHC_HURDAT2,H4,CARIBBEAN_HURRICANE_NETWORK,H1,ADOPT_HURDAT_PRESERVE_BOTH,RESOLVED_BY_AUTHOR_REPORTED_RULE,Original values remain in normalized/evidence tables.
CATEGORY-CHN-MTPP-20120825-040,HURDAT_CHN_CATEGORY,AL092012,HTI,NOAA_NHC_HURDAT2,H1,CARIBBEAN_HURRICANE_NETWORK,TS,ADOPT_HURDAT_PRESERVE_BOTH,RESOLVED_BY_AUTHOR_REPORTED_RULE,Original values remain in normalized/evidence tables.
CATEGORY-CHN-MWCB-19550915-032,HURDAT_CHN_CATEGORY,AL091955,CYM,NOAA_NHC_HURDAT2,H3,CARIBBEAN_HURRICANE_NETWORK,TS,ADOPT_HURDAT_PRESERVE_BOTH,RESOLVED_BY_AUTHOR_REPORTED_RULE,Original values remain in normalized/evidence tables.
CATEGORY-CHN-MWCB-19700521-033,HURDAT_CHN_CATEGORY,AL011970,CYM,NOAA_NHC_HURDAT2,H1,CARIBBEAN_HURRICANE_NETWORK,TS,ADOPT_HURDAT_PRESERVE_BOTH,RESOLVED_BY_AUTHOR_REPORTED_RULE,Original values remain in normalized/evidence tables.
CATEGORY-CHN-MWCB-19750919-035,HURDAT_CHN_CATEGORY,AL131975,CYM,NOAA_NHC_HURDAT2,H3,CARIBBEAN_HURRICANE_NETWORK,TS,ADOPT_HURDAT_PRESERVE_BOTH,RESOLVED_BY_AUTHOR_REPORTED_RULE,Original values remain in normalized/evidence tables.
CATEGORY-CHN-MWCB-19800806-036,HURDAT_CHN_CATEGORY,AL041980,CYM,NOAA_NHC_HURDAT2,H5,CARIBBEAN_HURRICANE_NETWORK,H4,ADOPT_HURDAT_PRESERVE_BOTH,RESOLVED_BY_AUTHOR_REPORTED_RULE,Original values remain in normalized/evidence tables.
CATEGORY-CHN-MWCB-20020919-039,HURDAT_CHN_CATEGORY,AL102002,CYM,NOAA_NHC_HURDAT2,H3,CARIBBEAN_HURRICANE_NETWORK,TS,ADOPT_HURDAT_PRESERVE_BOTH,RESOLVED_BY_AUTHOR_REPORTED_RULE,Original values remain in normalized/evidence tables.
CATEGORY-CHN-MWCB-20020930-040,HURDAT_CHN_CATEGORY,AL132002,CYM,NOAA_NHC_HURDAT2,H4,CARIBBEAN_HURRICANE_NETWORK,H1,ADOPT_HURDAT_PRESERVE_BOTH,RESOLVED_BY_AUTHOR_REPORTED_RULE,Original values remain in normalized/evidence tables.
CATEGORY-CHN-MWCB-20040812-041,HURDAT_CHN_CATEGORY,AL032004,CYM,NOAA_NHC_HURDAT2,H4,CARIBBEAN_HURRICANE_NETWORK,H1,ADOPT_HURDAT_PRESERVE_BOTH,RESOLVED_BY_AUTHOR_REPORTED_RULE,Original values remain in normalized/evidence tables.
CATEGORY-CHN-MWCB-20080830-043,HURDAT_CHN_CATEGORY,AL072008,CYM,NOAA_NHC_HURDAT2,H4,CARIBBEAN_HURRICANE_NETWORK,H2,ADOPT_HURDAT_PRESERVE_BOTH,RESOLVED_BY_AUTHOR_REPORTED_RULE,Original values remain in normalized/evidence tables.
CATEGORY-CHN-MWCR-19510819-039,HURDAT_CHN_CATEGORY,AL041951,CYM,NOAA_NHC_HURDAT2,H4,CARIBBEAN_HURRICANE_NETWORK,H1,ADOPT_HURDAT_PRESERVE_BOTH,RESOLVED_BY_AUTHOR_REPORTED_RULE,Original values remain in normalized/evidence tables.
CATEGORY-CHN-MWCR-19550915-042,HURDAT_CHN_CATEGORY,AL091955,CYM,NOAA_NHC_HURDAT2,H3,CARIBBEAN_HURRICANE_NETWORK,H1,ADOPT_HURDAT_PRESERVE_BOTH,RESOLVED_BY_AUTHOR_REPORTED_RULE,Original values remain in normalized/evidence tables.
CATEGORY-CHN-MWCR-19690814-043,HURDAT_CHN_CATEGORY,AL091969,CYM,NOAA_NHC_HURDAT2,H5,CARIBBEAN_HURRICANE_NETWORK,TS,ADOPT_HURDAT_PRESERVE_BOTH,RESOLVED_BY_AUTHOR_REPORTED_RULE,Original values remain in normalized/evidence tables.
CATEGORY-CHN-MWCR-19750919-044,HURDAT_CHN_CATEGORY,AL131975,CYM,NOAA_NHC_HURDAT2,H3,CARIBBEAN_HURRICANE_NETWORK,TS,ADOPT_HURDAT_PRESERVE_BOTH,RESOLVED_BY_AUTHOR_REPORTED_RULE,Original values remain in normalized/evidence tables.
CATEGORY-CHN-MWCR-19800807-045,HURDAT_CHN_CATEGORY,AL041980,CYM,NOAA_NHC_HURDAT2,H5,CARIBBEAN_HURRICANE_NETWORK,H4,ADOPT_HURDAT_PRESERVE_BOTH,RESOLVED_BY_AUTHOR_REPORTED_RULE,Original values remain in normalized/evidence tables.
CATEGORY-CHN-MWCR-19880913-048,HURDAT_CHN_CATEGORY,AL081988,CYM,NOAA_NHC_HURDAT2,H5,CARIBBEAN_HURRICANE_NETWORK,H4,ADOPT_HURDAT_PRESERVE_BOTH,RESOLVED_BY_AUTHOR_REPORTED_RULE,Original values remain in normalized/evidence tables.
CATEGORY-CHN-MWCR-20020919-049,HURDAT_CHN_CATEGORY,AL102002,CYM,NOAA_NHC_HURDAT2,H3,CARIBBEAN_HURRICANE_NETWORK,TS,ADOPT_HURDAT_PRESERVE_BOTH,RESOLVED_BY_AUTHOR_REPORTED_RULE,Original values remain in normalized/evidence tables.
