heldout_scenario,simulation_id,sample_index,baseline_policy_label,loho_policy_label,policy_stable,delta_Q_Water,delta_F_Water,baseline_R_Water,loho_R_Water,R_stable_Water,delta_Q_Vaccine,delta_F_Vaccine,baseline_R_Vaccine,loho_R_Vaccine,R_stable_Vaccine,delta_Q_Crackers,delta_F_Crackers,baseline_R_Crackers,loho_R_Crackers,R_stable_Crackers,canonical_policy_hash_stable,first_stage_stable,delta_first_stage_cost,row_sha256
h01,LA-0773,773,P1,P1,True,0.0,0.0,NONE,NONE,True,1.1641532182693481e-10,0.0,NONE,NONE,True,0.0,0.0,NONE,NONE,True,False,True,0.0,cce952a912853a60eca2146a0603e89e20a3f45acc4e8524f6e228ad3d82d653
h01,LA-0325,325,P1,P1,True,0.0,0.0,NONE,NONE,True,0.0,0.0,NONE,NONE,True,0.0,0.0,NONE,NONE,True,False,True,0.0,280f63d88881bfd0f5de725be04bb25da42eff136cd6f0f3d62eb33271538d7f
h01,LA-0539,539,P4,P4,True,0.0,0.0,NONE,NONE,True,0.0,0.0,NONE,NONE,True,0.0,0.0,R0,R0,True,False,True,0.0,7d35a497a12c2d55391fe2ff9db38b7e5d5af965f4b4c3ea4355a8cc3cd11572
h01,LA-0618,618,P4,P4,True,0.0,-14620530.522613961,R0,NONE,False,0.0,1103037.2418559024,NONE,R0,False,0.0,-62741662.80590778,R0,NONE,False,False,False,0.0,ecf279f59a825b8664d344e3e3eceb9a02cc0acca1b488211946a6184e5d27b3
h01,LA-0474,474,P4,P4,True,0.0,0.0,NONE,NONE,True,0.0,-3609960.26356048,R0,NONE,False,0.0,536024402.77110165,NONE,R0,False,False,False,0.0,19ef4bf315e16047cdd5f082c8d476b57547272e230bafc47e888669a0e96d02
h01,LA-0559,559,P4,P4,True,0.0,0.0,NONE,NONE,True,0.0,1452039.7149233469,NONE,R0,False,0.0,-215605897.06437588,R0,R0,True,False,False,-4.656612873077393e-10,4a14d97f3cccb05a86111ff969411218f5988959fdf255829f7d79753baa075d
h01,LA-0626,626,P4,P4,True,0.0,0.0,NONE,NONE,True,0.0,0.0,NONE,NONE,True,0.0,0.0,R0,R0,True,False,True,0.0,38e45fb721505de30a1e32d0792dc5f4d7289aea27b9ee59a496bfca6cc3b37f
h01,LA-0617,617,P1,P1,True,0.0,0.0,NONE,NONE,True,0.0,0.0,NONE,NONE,True,0.0,0.0,NONE,NONE,True,False,True,0.0,bdb6e09d98c65293af85a5842e9ec1372e35e2026e93c37225799dfed1c4db0e
h01,LA-0624,624,P4,P4,True,0.0,0.0,NONE,NONE,True,0.0,0.0,R1,R1,True,0.0,0.0,NONE,NONE,True,False,True,0.0,2380aed879d1f955c595d4686e962bafccef0fa3a8eed8eb8ee87c83a13dba76
h01,LA-0419,419,P1,P1,True,0.0,0.0,NONE,NONE,True,0.0,0.0,NONE,NONE,True,0.0,0.0,NONE,NONE,True,False,True,0.0,059805fab6c8d0ac8573aefb6a4db43b2463f595746baa5c79c814372c208603
h01,LA-0449,449,P4,P4,True,0.0,-12251254.276282765,R0,R0,True,0.0,-236124.1922080387,R0,NONE,False,0.0,119729424.38663483,R0,R0,True,False,False,0.0,835a9b0d33a5c2efb38ef402c11f1eb8a600eb572bead50bf271b4f3fe273efd
h01,LA-0034,34,P4,P4,True,0.0,22655801.32009204,NONE,R1,False,0.0,-1054481.3534797078,R1,R1,True,0.0,0.0,NONE,NONE,True,False,False,1.862645149230957e-09,87119d767efc2d0ab783565a02d73fe69f84df4ead0c0beb786bc449fe8d4142
h01,LA-0228,228,P4,P4,True,0.0,0.0,NONE,NONE,True,0.0,0.0,NONE,NONE,True,0.0,0.0,R0,R0,True,False,True,0.0,110b943a675ba1514841ae4b021c04e82a28b2eab8b007a77405997e1584c563
h01,LA-0181,181,P4,P4,True,0.0,0.0,NONE,NONE,True,0.0,0.0,R2,R2,True,0.0,0.0,NONE,NONE,True,False,True,0.0,4786d52e858d07ddc67335cc1ebafa3a1a0463e4471965111d48b0ca4c300c07
h01,LA-0446,446,P4,P4,True,0.0,11221644.416172447,NONE,R2,False,0.0,515394.9531317336,NONE,R2,False,0.0,-154081255.40051323,R2,R2,True,False,False,0.0,6f827414943f712700b02b91ffb96b2f2cbe29ffe7de4f9403389031435f78f9
