source_row,paper_country_code,country,iso3,population_source_location,year,population_1_july_persons,original_population_thousands,variant,source_dataset,source_reference,source_locator,transformation_rule,provenance_class
72879,DMA,Dominica,DMA,Dominica,2019,67880,67.88,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:72879,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
72880,DMA,Dominica,DMA,Dominica,2020,67573,67.573,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:72880,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
72881,DMA,Dominica,DMA,Dominica,2021,67202,67.202,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:72881,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
72882,DMA,Dominica,DMA,Dominica,2022,66826,66.826,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:72882,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
72883,DMA,Dominica,DMA,Dominica,2023,66510,66.51,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:72883,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
72884,DMA,Dominica,DMA,Dominica,2024,66205,66.205,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:72884,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
72885,DMA,Dominica,DMA,Dominica,2025,65872,65.872,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:72885,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
73182,GRD,Grenada,GRD,Grenada,2018,115691,115.691,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:73182,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
73183,GRD,Grenada,GRD,Grenada,2019,115982,115.982,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:73183,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
73184,GRD,Grenada,GRD,Grenada,2020,116341,116.341,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:73184,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
73185,GRD,Grenada,GRD,Grenada,2021,116688,116.688,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:73185,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
73186,GRD,Grenada,GRD,Grenada,2022,116913,116.913,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:73186,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
73187,GRD,Grenada,GRD,Grenada,2023,117081,117.081,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:73187,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
73188,GRD,Grenada,GRD,Grenada,2024,117208,117.208,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:73188,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
73189,GRD,Grenada,GRD,Grenada,2025,117304,117.304,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:73189,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
73486,HTI,Haiti,HTI,Haiti,2018,10962362,10962.362,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:73486,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
73487,HTI,Haiti,HTI,Haiti,2019,11105163,11105.163,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:73487,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
73488,HTI,Haiti,HTI,Haiti,2020,11243848,11243.848,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:73488,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
73489,HTI,Haiti,HTI,Haiti,2021,11374586,11374.586,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:73489,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
73490,HTI,Haiti,HTI,Haiti,2022,11503606,11503.606,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:73490,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
73491,HTI,Haiti,HTI,Haiti,2023,11637398,11637.398,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:73491,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
73492,HTI,Haiti,HTI,Haiti,2024,11772557,11772.557,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:73492,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
73493,HTI,Haiti,HTI,Haiti,2025,11906096,11906.096,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:73493,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
73638,JAM,Jamaica,JAM,Jamaica,2018,2820097,2820.097,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:73638,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
73639,JAM,Jamaica,JAM,Jamaica,2019,2823271,2823.271,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:73639,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
