simulation_id,sample_index,status,failure_type,failure_message,total_runtime_seconds,solver_runtime_seconds,iterations,memory_opportunities,memory_hits,candidate_hits,candidate_scenarios_planned,active_scenario_count,full_exact_certification_calls,complete_full_exact_certification_calls,scenario_evaluations,final_LB,final_UB,final_gap,convergence_status,certificate_status,worst_scenario,numerical_status,timeout_status,incumbent_first_stage_sha256,full_exact_oracle_sha256,final_convergence_owned_by_full_exact
LA-0645,645,SUCCESS,,,0.488490300020203,0.2237387999193743,3,1,0,1,3,3,2,2,53,1208145188.605177,1208145188.6051772,2.384185791015625e-07,certified,PASS,h09,PASS,unavailable,c2e35b0a134828e07547a4c49b1385d90df97c199ad08682639eb4e0405123f8,ca09cad1eccb733c22c460e42d78d38a833c6ebf25a11fac1868f87d5e559200,True
LA-0646,646,FAILED,oracle_failure,Memory exact evaluation failed,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,FAILED,FAILED,unavailable,unavailable,unavailable,unavailable,unavailable,False
LA-0647,647,SUCCESS,,,0.6374786000233144,0.28858849965035915,7,1,0,5,7,7,2,2,57,1222039244.6935356,1222039244.6935353,0.0,certified,PASS,h09,PASS,unavailable,76e8bd62330148731a31e60201a755636a94c90913eb07b4cb4b63d3c7907fc7,b5f223d3d30592040acd40a684c6694b2aed88bfbce73551ba7d7cf084823a25,True
LA-0648,648,SUCCESS,,,0.5373350000008941,0.25959299970418215,3,1,0,1,3,3,2,2,53,1228854705.441788,1228854705.441788,0.0,certified,PASS,h09,PASS,unavailable,2a20b46852c50b990006af623b6d2df6cff8250ba0437846a47c1a10bf3245f0,f59ac8a9a3ec6ee805136bc6fe100f60370b7be35f5253c9934d5d4e469b6faf,True
LA-0649,649,SUCCESS,,,0.5037945999065414,0.23445610038470477,3,1,0,1,3,3,2,2,53,1184362659.2002819,1184362659.2002816,0.0,certified,PASS,h09,PASS,unavailable,4ebc535da1f18e194326cd05ba004c81c7ea01021d98b690cdb379e6762ee50c,92f3bfd3cf144368cf0a38d116a92bdda953c795641feb606b6d334aaf867a49,True
LA-0650,650,SUCCESS,,,0.5159962000325322,0.2449798003071919,3,1,0,1,3,3,2,2,53,1177912534.6740386,1177912534.6740384,0.0,certified,PASS,h09,PASS,unavailable,599d5bb8656540fd140ba3b5b5012c1292a3b3795f6ff0a81cd03debb84a3b86,d4599f992e0b83e95e39f076ce975d3e39f1a1a9912c27950aeaa2c2926b201a,True
LA-0651,651,SUCCESS,,,0.5047296000411734,0.23615880054421723,3,1,0,1,3,3,2,2,53,1230209165.0785525,1230209165.0785522,0.0,certified,PASS,h09,PASS,unavailable,deccf55fe19f9e8ca82a5bedf7ab9f9e8ca9dac1ddbc33f9206a9dc29a363fdb,9c6f9bd633ec6368108574ce2dafc81b19a33b365e75457562ebea2b72770037,True
LA-0652,652,SUCCESS,,,0.5378419000189751,0.2644734000787139,3,1,0,1,3,3,2,2,53,1232513512.1445084,1232513512.1445084,0.0,certified,PASS,h09,PASS,unavailable,835544c440efba43971ff04af6d50a640d0a96a122bca7a04c268e20a321a69c,5a45b4cc1404e2e6dd314b57b3d3f08b2cf479bb16fbaf25e6973b50725f3bbb,True
LA-0653,653,FAILED,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,FAILED,FAILED,unavailable,unavailable,unavailable,unavailable,unavailable,False
LA-0654,654,FAILED,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,FAILED,FAILED,unavailable,unavailable,unavailable,unavailable,unavailable,False
