simulation_id,input_sha256,post_fix_certified,non_regression_pass,difference_reason,old_objective,new_objective,objective_absolute_difference,objective_tolerance,max_first_stage_absolute_difference,old_policy,new_policy,old_worst_scenario,new_worst_scenario,old_R_Water,old_R_Seasonal Influenza Vaccine,old_R_Crackers,new_R_Water,new_R_Seasonal Influenza Vaccine,new_R_Crackers,new_result_sha256
LA-0306,c2643f9f338b34f9d8b143361a225a7209edbf555f9394edcb89adddc186dc34,True,True,,1224196087.6805682,1224196087.6805682,0.0,1.2241961876805683,0.0,P1,P1,h09,h09,NONE,NONE,NONE,NONE,NONE,NONE,4dd1b3ddd5096270aec45367a342f64f7791ef15d9d9ff1bea1c18cdb43f5b69
LA-0307,f82e17236737fbf0c426f35a06db33697cf0e90bf6de2998fff660aa75054ced,True,True,,1209730051.7736647,1209730051.7736647,0.0,1.209730151773665,0.0,P4,P4,h09,h09,NONE,R1,NONE,NONE,R1,NONE,8df74e2680f81009f650ae8434007d2d555a0f35920ce34d6645e1eb041c2cf2
LA-0309,edfd44d35059942c0924ebc0728653f9cebdd3f8cfd1c30418d1215f86295896,True,True,,1233647915.2873466,1233647915.2873466,0.0,1.2336480152873468,0.0,P1,P1,h09,h09,NONE,NONE,NONE,NONE,NONE,NONE,10ed7d1eac4785630ff2205eb1813ba9a448a9aaac7c021c0c4832fda4604e71
LA-0310,8833ca4e19d3b03159b311cfa63fc1c647b4095e9b3f8e9833bfd331e6212f29,True,True,,1196494501.8672068,1196494501.8672068,0.0,1.196494601867207,0.0,P4,P4,h09,h09,R0,R0,NONE,R0,R0,NONE,5897b19d6bff74d59b92c895c671c8911350d9750b0b5201cc141a1e7e468077
LA-0311,2ad8e27d064113cd71ac096661d5484eb440cd01ba5469c5108f0c31297668ed,True,True,,1238014530.2484014,1238014530.2484014,0.0,1.2380146302484016,0.0,P4,P4,h09,h09,R0,NONE,R0,R0,NONE,R0,ecad83d840c4c29757bfa6e0b1e9c8640b21d4c10fe55288a7deed782f0d1a1d
LA-0312,891e6a4d67e32ec6052911199efcca3b63de6ca3246fabd04a3a20fed806b879,True,True,,1239490421.1368363,1239490421.1368363,0.0,1.2394905211368363,0.0,P4,P4,h09,h09,R0,NONE,R0,R0,NONE,R0,3378350d41599626fdf2ad69c523dc723bea28586645dd4f7b93b77ae6f9ae64
LA-0313,70b5516fb27b651f24787b50ef8d3e51bd503b2d2133c121f201a223f54539fc,True,True,,1221995562.5068939,1221995562.5068939,0.0,1.221995662506894,0.0,P1,P1,h09,h09,NONE,NONE,NONE,NONE,NONE,NONE,9a17ab5201d4625cb4d407ec43db08bf1e4b7a3afb4ad036112db6a5d0ed224f
LA-0314,eadbad8963a4a1062cbc7ee3cda149ceeaf781652d677f8b4b40a4d8d1edfa53,True,True,,1216395885.8670285,1216395885.8670285,0.0,1.2163959858670286,0.0,P4,P4,h09,h09,NONE,NONE,R0,NONE,NONE,R0,cbee51366b7f58e7616c44ed21842c758905686390a848be68040cbc72bab5f2
LA-0315,4bf4ebd6394bf482ac222f814def0101e33aff41cc6463d49d32021d2a3fa25f,True,True,,1182021739.8828192,1182021739.8828192,0.0,1.1820218398828193,0.0,P4,P4,h09,h09,R0,NONE,R0,R0,NONE,R0,c22c71d1ae52f11196bbd353a493686cf0656f7b9c310041ff03b6ad2b0e555b
LA-0316,1e7b00c7cecb5e0b010879c58fefa90fc9c1c340d932af1fc0b6a1628a822e89,True,True,,1232642024.4743192,1232642024.4743192,0.0,1.2326421244743193,0.0,P1,P1,h09,h09,NONE,NONE,NONE,NONE,NONE,NONE,9c1cfa3dafc5239355a44461d2d372dc52c865a016ec4a39622f2ea2c797cfcf
LA-0317,73c7f09c65a4bfb94a7264d0b132b7c9576b043aa21579fb4ef97e5a17b53d8f,True,True,,1226769853.7309005,1226769853.7309005,0.0,1.2267699537309007,0.0,P1,P1,h09,h09,NONE,NONE,NONE,NONE,NONE,NONE,913e86c640c2c6726bc6de2d3c149e67dd39694ab1840fcb3ec44a9216e987e0
LA-0318,fc30e1b9af57f0faf022641a0e2c8aa3d0b2050fd1f2023b6c908babc8409514,True,True,,1230238126.7498584,1230238126.7498584,0.0,1.2302382267498586,0.0,P1,P1,h09,h09,NONE,NONE,NONE,NONE,NONE,NONE,e09147f5e1955e15392410a6785ebf8a7c688ca5c7a8706a22462d79d44df3e3
LA-0319,9b9fb544aaad37aaa33540256d8967369380dd29d6cf629eb2b97627f27a5b9e,True,True,,1231002619.2784157,1231002619.2784157,0.0,1.2310027192784159,0.0,P4,P4,h09,h09,NONE,NONE,R0,NONE,NONE,R0,54728d8f2034feaa7086893e7854497fed6f0a90d2a718e8a1800c7d382f4415
LA-0320,1d0c180d869a3469429ef3804fc013ac3594aa2768be7d792e4715987c7a477c,True,True,,1231379489.8215356,1231379489.8215356,0.0,1.2313795898215356,0.0,P1,P1,h09,h09,NONE,NONE,NONE,NONE,NONE,NONE,a1006bc549ba13c88609edc45116c44582dabfa3b89d7c69411a60965be90653
LA-0321,930a81ffe7164e44dc88476cfb0a379770e8d79f79b607f6cdbb7bc0e25b5c04,True,True,,1224549403.1611316,1224549403.1611316,0.0,1.2245495031611318,0.0,P1,P1,h09,h09,NONE,NONE,NONE,NONE,NONE,NONE,61a9b9da61cb01618ab4a1fee333489441e6f703b1e3d63a388b2d499239c348
LA-0322,b3d497f2e51a319dc60654f2085b0be33560e603d3405ee0e498a32092cb1667,True,True,,1225592037.754202,1225592037.754202,0.0,1.225592137754202,0.0,P1,P1,h09,h09,NONE,NONE,NONE,NONE,NONE,NONE,bc37bc2bbf9028ec29b5456766357eea3205144bedb01d6e8c0e6340d404dcf7
LA-0323,84f7e678f27751b2bbd207e340bb72ce61a883b53fb6018f15243e79f340208a,True,True,,1227312383.5202851,1227312383.5202851,0.0,1.2273124835202853,0.0,P4,P4,h09,h09,R0,NONE,R0,R0,NONE,R0,e8e90b4f136450af2a71dc2e7f4da0897efe35a411e26000a5cab1261efc3b6c
LA-0324,e8bffda3ffe3400e77d32a9772b52f84d6fcc8a7b56af8f9de733066f3aa0ceb,True,True,,1208367436.5175703,1208367436.5175703,0.0,1.2083675365175703,0.0,P4,P4,h09,h09,NONE,NONE,R0,NONE,NONE,R0,dfa1969c57a4dc173dfca34d815e6d2c8d547542b3449a910a1297f83449a0d3
