simulation_id,input_sha256,post_fix_certified,non_regression_pass,difference_reason,old_objective,new_objective,objective_absolute_difference,objective_tolerance,max_first_stage_absolute_difference,old_policy,new_policy,old_worst_scenario,new_worst_scenario,old_R_Water,old_R_Seasonal Influenza Vaccine,old_R_Crackers,new_R_Water,new_R_Seasonal Influenza Vaccine,new_R_Crackers,new_result_sha256
LA-0061,cd7ba256524cb036f33013c1005baf2ca2bf23e5fdc7a9fa10871d5c2a2e0738,True,True,,1228209320.9013371,1228209320.9013371,0.0,1.2282094209013372,0.0,P4,P4,h09,h09,NONE,NONE,R0,NONE,NONE,R0,87185a2cde7eb5c5aff20e35002d0d6e1268f328b8668ad6887b601b3c4c1da1
LA-0062,0a8476101aed9a3c938c73fcf4aa585e93a174a4346c5bbb4dd77fc8e931e499,True,True,,1230285379.673842,1230285379.673842,0.0,1.230285479673842,0.0,P4,P4,h09,h09,NONE,R0,NONE,NONE,R0,NONE,a948bce69d281e1afc6cf427c44585af8afa1e08b7f22a5b11d7670638ca9c14
LA-0063,c09e21ecbc8cb0da475b3b11188d3df9b258c4e2729dc9d43f3a17441930e6da,True,False,first_stage,1228395657.9959822,1228395657.995982,2.384185791015625e-07,1.2283957579959823,22111288.534753524,P1,P1,h09,h09,NONE,NONE,NONE,NONE,NONE,NONE,741ebd86a453d4179794aa17bbcdf5419f7805c6ddfdd6f4c4eba82106a25074
LA-0064,0c0505f8d265afb56b5051fb03264061417d45d1f0a35c46f861c1ae95389ba4,True,True,,1212328150.4350476,1212328150.4350476,0.0,1.2123282504350477,0.0,P4,P4,h09,h09,NONE,NONE,R0,NONE,NONE,R0,9a4dd17a80310f3042854dda1ef9fa022579843afa78f451a2e7efc3ee6d7052
LA-0065,d256eadfc4945b86a5b851692b96cf9234577168b1f35668db33d3fc2eb72510,True,True,,1220378811.425943,1220378811.425943,0.0,1.2203789114259431,0.0,P4,P4,h09,h09,NONE,R0,NONE,NONE,R0,NONE,060fa336e386c7eb010769616cd4434bab03553ad4b3c2768fffe376ec39d6e0
LA-0066,44308e8523479a7c82a4272406e1acb57a90d106661f280302640a9eb1bd5eab,True,True,,1203115741.1743617,1203115741.1743617,0.0,1.2031158411743619,0.0,P4,P4,h09,h09,R0,NONE,R0,R0,NONE,R0,4cf4a7a7e716551ce74cc4fc306bda9cddc9e0439f61a40015df18982c362619
LA-0067,8545392c59e5fbad14745c8557475b4e270611e74a1ec2ca369eed91fcab4baa,True,True,,1219013844.9555795,1219013844.9555795,0.0,1.2190139449555797,0.0,P4,P4,h09,h09,R0,NONE,R0,R0,NONE,R0,2a0882336524fccbe49199fe1591595f12aaa9d02332ba70d070f113fc0c926f
LA-0069,0f70ab6ebe1757f095619020bd3db7cac560cb722425c0dd13af6aee0c7c9359,True,True,,1217703060.7277472,1217703060.7277472,0.0,1.2177031607277473,0.0,P4,P4,h09,h09,NONE,R2,NONE,NONE,R2,NONE,3d4ccfa304ceaad92ab7c8272f9a5d9ce1263ab5bdbdd013a3a7792c1bc3be57
LA-0070,0da904d3aa0e12971440714cbc0b97c44dfb896ace9791d0a729a0b8cdccca6d,True,True,,1225693410.4606614,1225693410.4606614,0.0,1.2256935104606614,0.0,P4,P4,h09,h09,NONE,R0,NONE,NONE,R0,NONE,e64636c75b3ea194da45fb7d909b224b5e65c73d04a75b27a8b0ee937922b605
LA-0071,41a3ac70d325d533f1e3697acce5d23d974ab1cae2ed698a4a07bfb123138f7f,True,True,,1213521985.114246,1213521985.114246,0.0,1.213522085114246,0.0,P4,P4,h09,h09,NONE,NONE,R0,NONE,NONE,R0,b64e0887cf98f0711c22e3b4fa3b51a3b49b270afe5edfcbea2fc456a1dbb90b
LA-0072,52a3bb08b988a4f5497ecff308f3c9174f9e7fc47174b5cd5329d2036ce75adf,True,True,,1218776122.695139,1218776122.695139,0.0,1.218776222695139,0.0,P4,P4,h09,h09,NONE,NONE,R1,NONE,NONE,R1,c0cdde46d22c3c99c3ef5b8d6eef5ad52dfc8e53b78c9f9913157908d6b8f0b8
LA-0073,099bf77c42033cdfe0e5d91256d98dc75616afed8ad0be0c023061af096284ad,True,True,,1231640060.677347,1231640060.677347,0.0,1.231640160677347,0.0,P4,P4,h09,h09,R0,NONE,R0,R0,NONE,R0,b050bad5abe511b0178ab8f5007d057921326df158401a2fac14c564dca41fc7
LA-0074,819a1660302e57c1b01749c09673c1de0f85225cb0f1e73870f580a6c0ecd321,True,True,,1230823537.8036048,1230823537.8036046,2.384185791015625e-07,1.230823637803605,0.0,P1,P1,h09,h09,NONE,NONE,NONE,NONE,NONE,NONE,580ff1c0ecdb196cac0751516e129ddfba436e43a8689ab13c2d4198de9a4f99
LA-0075,9d546685b9fd14893cf0a89d22cad2b369bd129b2c8f0fd26a9ed507173a5df6,True,True,,1191369152.5092824,1191369152.5092824,0.0,1.1913692525092825,0.0,P4,P4,h09,h09,NONE,NONE,R0,NONE,NONE,R0,e153e296944b2d6500a8e84105709ade1a318449627f2121abf99afc7e35c366
LA-0076,5969f9a8224a0ba47a7c495ef92a60b0ba6fee8c2bfacc1be2a6d961c497617f,True,True,,1173411610.1295147,1173411610.1295147,0.0,1.1734117101295147,0.0,P4,P4,h09,h09,R0,NONE,R0,R0,NONE,R0,e812cac6ec62491fa36ca1a81df071354c08a9c7c41ed314edc645407fb643b5
