comparison,outcome,min,Q25,median,mean,Q75,max,increased,decreased,unchanged
risk:Medium->High|rel:Favorable,worst_shortage_Crackers,-167372024.44569254,0.0,0.0,-894970.4051126993,9072453.710441768,166761035.05556273,96,38,66
risk:Medium->High|rel:Favorable,worst_shortage_penalty,0.0,198555.27200585604,1427289.1259390116,1821262.231539799,3401081.446970403,5648319.397329807,159,,41
risk:Medium->High|rel:Favorable,T_COST,0.0,198555.27200585604,1427289.1259390116,1821262.231539792,3401081.446970463,5648319.397329807,159,,41
risk:Medium->High|rel:Favorable,budget_usage,-2.220446049250313e-16,0.0,0.0,5.551115123125783e-18,0.0,2.220446049250313e-16,,,200
risk:Low->High|rel:Favorable,F_total,-299375649.5272095,0.0,16497279.068495221,47203775.3312083,107311659.94117574,710172968.0054941,119,49,32
risk:Low->High|rel:Favorable,F_Water,-14632783.986706106,-3829063.996504925,0.0,-1196068.175042839,0.0,20938594.871777847,42,52,106
risk:Low->High|rel:Favorable,F_Vaccine,-3383711.7405846585,0.0,0.0,-32445.463298968054,0.0,3157066.041858517,28,27,145
risk:Low->High|rel:Favorable,F_Crackers,-302249274.06992906,0.0,4972773.828604259,48432288.96955011,107048229.77509937,713556679.7460787,103,42,55
risk:Low->High|rel:Favorable,paid_R_any,0.0,0.0,0.0,0.095,0.0,1.0,19,,181
risk:Low->High|rel:Favorable,R1_item_count,0.0,0.0,0.0,0.0,0.0,0.0,,,200
risk:Low->High|rel:Favorable,R2_item_count,0.0,0.0,0.0,0.095,0.0,1.0,19,,181
risk:Low->High|rel:Favorable,worst_shortage_Water,-10400000.0,0.0,0.0,835014.7611196035,0.0,10400000.0,41,25,134
risk:Low->High|rel:Favorable,worst_shortage_Vaccine,-1568084.5365408584,0.0,0.0,56681.721095963214,0.0,2404915.0273831096,39,28,133
risk:Low->High|rel:Favorable,worst_shortage_Crackers,-354416784.6411519,0.0,0.0,-2702329.1909230137,21291251.75249052,214818482.46943545,96,49,55
risk:Low->High|rel:Favorable,worst_shortage_penalty,0.0,590624.6353774071,3480737.5667535067,4305438.3991011465,7599023.533093572,13023535.091442585,168,,32
risk:Low->High|rel:Favorable,T_COST,0.0,590624.6353774071,3480737.5667535067,4305438.399101146,7599023.533093572,13023535.091442585,168,,32
risk:Low->High|rel:Favorable,budget_usage,-2.7755575615628914e-15,0.0,0.0,-3.608224830031759e-17,0.0,4.440892098500626e-16,,,200
rel:Unfavorable->Reference|risk:Low,F_total,-494118963.36614966,0.0,0.0,-11999773.34381966,0.0,337886148.97007084,19,35,146
rel:Unfavorable->Reference|risk:Low,F_Water,-14632783.986706106,0.0,0.0,-219491.7598005916,0.0,14632783.986706106,14,20,166
rel:Unfavorable->Reference|risk:Low,F_Vaccine,-2471734.286622931,0.0,0.0,90159.71336690545,0.0,3350303.2239743047,28,14,158
rel:Unfavorable->Reference|risk:Low,F_Crackers,-497469266.59012395,0.0,0.0,-11870441.297385968,0.0,340177137.85768384,19,33,148
rel:Unfavorable->Reference|risk:Low,paid_R_any,0.0,0.0,0.0,0.0,0.0,0.0,,,200
rel:Unfavorable->Reference|risk:Low,R1_item_count,0.0,0.0,0.0,0.0,0.0,0.0,,,200
rel:Unfavorable->Reference|risk:Low,R2_item_count,0.0,0.0,0.0,0.0,0.0,0.0,,,200
rel:Unfavorable->Reference|risk:Low,worst_shortage_Water,-10400000.0,0.0,0.0,156000.0,0.0,10400000.0,20,14,166
rel:Unfavorable->Reference|risk:Low,worst_shortage_Vaccine,-2381170.497766371,0.0,0.0,-64079.4683956028,0.0,1756742.7089904714,14,28,158
rel:Unfavorable->Reference|risk:Low,worst_shortage_Crackers,-241775060.50345874,0.0,0.0,8436712.358015459,0.0,353567740.5774307,33,19,148
rel:Unfavorable->Reference|risk:Low,worst_shortage_penalty,-2.384185791015625e-07,0.0,0.0,0.0,0.0,2.384185791015625e-07,,,200
rel:Unfavorable->Reference|risk:Low,T_COST,-2.384185791015625e-07,0.0,0.0,0.0,0.0,2.384185791015625e-07,,,200
rel:Unfavorable->Reference|risk:Low,budget_usage,-2.220446049250313e-16,0.0,0.0,0.0,0.0,2.220446049250313e-16,,,200
rel:Reference->Favorable|risk:Low,F_total,-385635403.88691235,0.0,0.0,9953929.057724662,0.0,453442737.3171819,29,16,155
