case_id,simulation_id,sample_index,input_sha256,source_first_stage_sha256,replay_first_stage_sha256,certified_status_invariant,first_stage_identity_invariant,policy_label_invariant,Q_F_R_invariant,objective_invariant,worst_scenario_invariant,all_categorical_scientific_fields_invariant,all_numeric_scientific_fields_invariant,certificate_valid,replay_result_sha256,comparison_sha256
E2A_VACCINE_H0,LA-0043,43,bdc5747811a264908bd755c96486e7c3da7a6a1accb92f6f33a43cd1292740ff,2072f76d4cb24b8650039309254d88fceb971ae4e2f80a7107aad79f1d481ec5,2072f76d4cb24b8650039309254d88fceb971ae4e2f80a7107aad79f1d481ec5,True,True,True,True,True,True,True,True,True,fc3b5a831549171d543829ce7f1bed9828ca8209a8e38e0f6e0e49e433b3fd64,d3a8e5135182908bf60023ba3134c0f163a83fe78558af4c638ad9ce8f3353ea
E2A_VACCINE_H0,LA-0044,44,a038cf45cee562876a7617518296aa0442df2ad4ac8f6514371e7f89246f5f5a,ebee18acd1a061b69e20f51ca7d1d2b79247424fd80406c166db8619fb264996,ebee18acd1a061b69e20f51ca7d1d2b79247424fd80406c166db8619fb264996,True,True,True,True,True,True,True,True,True,c52716639b8966597e051a222d1b762c42b2c571ed679225bc80e445da37d4a5,6f81d7ecc09466b5a46b0613ff4a8ed6fcdbd875fe322063a70b390ed2f4bf98
E2A_VACCINE_H0,LA-0045,45,dcfa9d2ea24f4d13a681c78f3478e0d05b21b1da8abdbf8fdf1901b220016805,298f3383941875eb76ac9fcd5c7c262ae1db37ea70dcb66a0003d802560e3e49,298f3383941875eb76ac9fcd5c7c262ae1db37ea70dcb66a0003d802560e3e49,True,True,True,True,True,True,True,True,True,c1260f0f11fb420f57d80c526a950ae66d9b86a774c41a381efd84e00fbc67a6,743d5c88fc861b96ad487b9102b52ec873d92929a953047b38a0779cd2093655
E2A_VACCINE_H0,LA-0046,46,3cba3e3157cbcca2cddfbd5c637816c67179bbbef11619437f20dd61d190c530,426ce70bd476cc1f6aae690ad08a20773e10f0651db2c695b5e9f253d999148c,426ce70bd476cc1f6aae690ad08a20773e10f0651db2c695b5e9f253d999148c,True,True,True,True,True,True,True,True,True,8c79effe457a885bd18b6275f1df4b319822e630b329a419f76edbd4f2e42d9c,ddefa3fa00b772fa61bd0883d436752e36001fbfb188def9739a4bfa7aa01517
E2A_VACCINE_H0,LA-0047,47,fd2ce38681f35c0793562ad74e3fe7246a6d119841da06d92a85d136281118ab,e538ef9a1cf93c9d750b3ad04a6b3ba0939c0d517ca556dd3173d35e431f1c09,e538ef9a1cf93c9d750b3ad04a6b3ba0939c0d517ca556dd3173d35e431f1c09,True,True,True,True,True,True,True,True,True,ccea950e9acdc53c8a52d4729a9b1fc21b598c0ee94d1f8d10e6442df9d23618,543e07e5cad2d7214376e02d81fea322b55ede47919ea7331e26c61b3257c97e
E2A_VACCINE_H0,LA-0048,48,094350cdea0997d0c0c41a1c2a14236c8020c9c96601c54849ba12b930a914a4,0c9040cbb67342f91a8007fb34c0ca816dd5d70ba7abb434875f76acc388d241,0c9040cbb67342f91a8007fb34c0ca816dd5d70ba7abb434875f76acc388d241,True,True,True,True,True,True,True,True,True,6e64eebee18eb0b700be589f6a66d928857ac586e4e9af50fee823ea29647d9a,bbb369a687963f1de64626bbb20fe11640e3908cd9c914b8abad44f87849e2d7
E2A_VACCINE_H0,LA-0049,49,2095319ddb1639bb7caea136d97f9321b89043cb6f9f0bac4ba4a22b99e05087,0a1b77e0a653fbd99372b5bed9673c70c6a7c6e868b00fc69b37d4c9c4802011,0a1b77e0a653fbd99372b5bed9673c70c6a7c6e868b00fc69b37d4c9c4802011,True,True,True,True,True,True,True,True,True,beda47fca9d6e61248a609e91319d962271cb4bea67bb1d63a6e5458374fd83f,648ff44e64e5411821d879c832d74b39fd6250e4718698380172485b3d4b57c7
E2A_VACCINE_H0,LA-0050,50,c0506d4ba38d90166b8124e9708158837f721cd06ef88fe92e1fde8a5c6c0e7c,7854fbc8f9103c8be0ef7126c75486b255329371af3aa4557f90f10ff1bb0b90,7854fbc8f9103c8be0ef7126c75486b255329371af3aa4557f90f10ff1bb0b90,True,True,True,True,True,True,True,True,True,4f8459595d5b68df455bfa5c3842f1fc13df447c9be534b7084e822e4c417a31,fa24fc798fd7e305699e31f136ff4ed68d5b561a4ca9febe734ced896ff5aca4
E2A_VACCINE_H0,LA-0051,51,d77f3bce26b0e3330ae0a4a5c88c1048624bc0c3991e65d6872d2d0ba4466cd8,707bef9a0d2a612bdbf9491363f0adb2f20d520705e42d5fcc0270e52d90ec73,707bef9a0d2a612bdbf9491363f0adb2f20d520705e42d5fcc0270e52d90ec73,True,True,True,True,True,True,True,True,True,c9ddd2f2743ab8899a0f6c6c07a45c2f22f50487be667354d38e9c59c54556ae,b0ac58e18040883c8099c191904e89b3fdd6e3d6214e136b3c706b87c6956d7f
E2A_VACCINE_H0,LA-0052,52,8393d2ec315cc810dc2bb9cf9dff8524763ca7deae7190abebab5fe855333c96,268848d23ba6f2782fb8f47295749ce4a72d75435abc8bbc89f660e72d6c04f4,268848d23ba6f2782fb8f47295749ce4a72d75435abc8bbc89f660e72d6c04f4,True,True,True,True,True,True,True,True,True,178bec0ba4ffc2212f420fabd42e89166cf5ad346f4a81c90d1e38cceae57edc,cd5bc827feb2a190a1832a8647107b72c51669908652e817b26c0c528ab86989
E2A_VACCINE_H0,LA-0053,53,53e2d715810797ff98b1ca17b5309d98726e650bca30e977506b2277192de74d,314448fccc3ebb32b9e2d18a12085a55011fa1d1ad092b6ac906fb3d438ae033,314448fccc3ebb32b9e2d18a12085a55011fa1d1ad092b6ac906fb3d438ae033,True,True,True,True,True,True,True,True,True,1b3f265812d41623943817a30584eeb918f89439f5a89be19c4915b48d0b2f34,483ff45a8072c5c8a3c2e2bf174e68b049cf2b07aef03151a7b5742a027451aa
E2A_VACCINE_H0,LA-0054,54,21d638d203a99770e141be90350ad5da2f5b6ae17715b0da72949c5332332f9b,f31f6d54fd9313bbb910dcf81efc0b646f497d885113bc9099e1e18ce2d1b3ef,f31f6d54fd9313bbb910dcf81efc0b646f497d885113bc9099e1e18ce2d1b3ef,True,True,True,True,True,True,True,True,True,596a411f5a64dd120c97b252c09974aeb34d3492e980f4bc95772b98c0ced914,ba44155da49130dece245892d9507acb109fde254fbbc1f77684053d87276e06
